ProbeID,GSM2714567,GSM2714568,GSM2714569,GSM2714570,GSM2714571,GSM2714572,GSM2714573,GSM2714574,GSM2714575,GSM2714576,GSM2714577,GSM2714578,GSM2714579,GSM2714580,GSM2714581,GSM2714582,GSM2714583,GSM2714584,GSM2714585,GSM2714586,GSM2714587,GSM2714588,GSM2714589,GSM2714590,GSM2714591,GSM2714592,GSM2714593,GSM2714594,GSM2714595,GSM2714596,GSM2714597,GSM2714598,GSM2714599,GSM2714600,GSM2714601,GSM2714602,GSM2714603,GSM2714604,GSM2714605,GSM2714606,GSM2714607,GSM2714608,GSM2714609,GSM2714610,GSM2714611,GSM2714612,GSM2714613,GSM2714614,GSM2714615,GSM2714616,GSM2714617,GSM2714618,GSM2714619,GSM2714620,GSM2714621,GSM2714622,GSM2714623,GSM2714624,GSM2714625,GSM2714626,GSM2714627,GSM2714628,GSM2714629,GSM2714630,GSM2714631,GSM2714632,GSM2714633,GSM2714634,GSM2714635,GSM2714636,GSM2714637,GSM2714638,GSM2714639,GSM2714640,GSM2714641,GSM2714642,GSM2714643,GSM2714644,GSM2714645,GSM2714646,GSM2714647,GSM2714648,GSM2714649,GSM2714650,GSM2714651,GSM2714652,GSM2714653,GSM2714654,GSM2714655,GSM2714656,GSM2714657,GSM2714658,GSM2714659,GSM2714660,GSM2714661,GSM2714662,GSM2714663,GSM2714664,GSM2714665,GSM2714666,GSM2714667,GSM2714668
cg00043095,0.079677026,0.061934706,0.043819861,0.068071141,0.057499509,0.082132565,0.053404892,0.064189846,0.066648774,0.05545634,0.052852741,0.06233826,0.059449541,0.068756032,0.067297994,0.056037885,0.096285642,0.053745842,0.072301361,0.072812364,0.082217562,0.111013327,0.066765197,0.063597743,0.073681787,0.069366103,0.068461047,0.119499863,0.104855943,0.061724254,0.070409605,0.059110592,0.051864431,0.063632797,0.072711719,0.05432986,0.044578063,0.05965056,0.035832696,0.07275967,0.063553826,0.064832057,0.034823953,0.053420749,0.082200647,0.051601638,0.051614259,0.045539434,0.046333379,0.085413643,0.043869112,0.068732063,0.047893088,0.059210526,0.059201747,0.059165795,0.05384083,0.048336736,0.050472159,0.072259245,0.055044747,0.106721193,0.07240077,0.068486245,0.046197411,0.069530347,0.044981816,0.059040848,0.065302013,0.099513631,0.055955828,0.087882536,0.058736543,0.072378831,0.060584334,0.085802571,0.069663787,0.045003814,0.065886179,0.071428571,0.077172576,0.075513394,0.069614069,0.078264929,0.051774644,0.060878772,0.056368087,0.058798492,0.050279639,0.053651783,0.07585327,0.099155233,0.072175787,0.10356361,0.090531714,0.086791544,0.094046962,0.068374637,0.120665742,0.105950141,0.112806462,0.074200206
cg00347369,0.208639945,0.20884095,0.288096633,0.556578499,0.219761418,0.269736145,0.315589569,0.190766335,0.239758258,0.292371484,0.117482311,0.13131514,0.368272184,0.319909429,0.092980419,0.16836006,0.180899088,0.355665624,0.190893354,0.158482501,0.201958298,0.230761738,0.144716815,0.212151394,0.326388573,0.231117373,0.087471301,0.330670076,0.231411294,0.360553152,0.213040248,0.278416347,0.455598608,0.183658237,0.164539694,0.189994947,0.090986274,0.242446573,0.136107987,0.400012413,0.225570359,0.27904032,0.232338338,0.276649267,0.119014477,0.25659051,0.176955298,0.299248953,0.347522236,0.267642326,0.287328283,0.159595546,0.50445213,0.218480138,0.2017571,0.215296176,0.10357187,0.225588333,0.23170918,0.202965031,0.263946183,0.220002513,0.234939392,0.411377437,0.500617623,0.213812077,0.183700777,0.419162537,0.29451617,0.177828757,0.194421258,0.230828221,0.13704304,0.18873113,0.096743619,0.320694848,0.162459844,0.221252345,0.180404006,0.21402214,0.099893276,0.23860774,0.237667957,0.343070384,0.488990887,0.46482261,0.245252184,0.232304261,0.146317632,0.341966742,0.22606493,0.154308202,0.214578454,0.237020205,0.283035385,0.251923856,0.189650841,0.155347518,0.243732527,0.174546352,0.171128401,0.132033711
cg00397986,0.206741427,0.157099468,0.418314107,0.764622436,0.108033588,0.135389672,0.607099805,0.393690559,0.268696331,0.243455909,0.202811355,0.111946793,0.573508951,0.182332845,0.101430823,0.152798714,0.348865527,0.597514078,0.123078348,0.41803614,0.207174734,0.195111865,0.104511655,0.472947678,0.50788835,0.191593456,0.080796253,0.436865495,0.48754677,0.680251403,0.190469009,0.119550712,0.069222959,0.13345167,0.064122048,0.239244794,0.128467368,0.207387765,0.142969032,0.514411441,0.090696743,0.210594607,0.216431816,0.219985043,0.3001717,0.179722973,0.13401177,0.162461774,0.511630156,0.32311444,0.259677331,0.138188477,0.62865598,0.156763369,0.123563034,0.204178032,0.077180443,0.136949881,0.079242862,0.476048691,0.263862552,0.178778792,0.480451159,0.066416382,0.36806227,0.162165223,0.155402523,0.477107202,0.509138166,0.116772824,0.194079128,0.223576805,0.070208222,0.175456784,0.14400343,0.294902482,0.173203098,0.160565724,0.128936294,0.228944178,0.084478792,0.08247012,0.228794109,0.221786909,0.082045089,0.561828796,0.369332234,0.122855818,0.123857743,0.540735511,0.505034857,0.140634866,0.16332637,0.185173902,0.211596053,0.205658221,0.130372688,0.119019608,0.182763005,0.11365564,0.120950104,0.162836563
cg00466268,0.178309427,0.22891712,0.170914769,0.374661287,0.250466761,0.232917067,0.142120478,0.18345355,0.238223074,0.294732663,0.292948467,0.1660081,0.368030311,0.146480037,0.084510884,0.128243021,0.205054364,0.435869936,0.184914591,0.165098508,0.208085719,0.239456848,0.185420775,0.218625471,0.441534562,0.168064499,0.083431476,0.217205713,0.408170515,0.133358377,0.16123363,0.181624052,0.297792706,0.234682592,0.086388431,0.236111111,0.13517818,0.244947735,0.223989286,0.17297048,0.194040036,0.228517384,0.1884429,0.223338862,0.173574901,0.191193108,0.176890309,0.14571342,0.544355999,0.28462088,0.218905016,0.173405635,0.268144138,0.227389706,0.167577242,0.12458159,0.113297754,0.199611866,0.177118644,0.247140595,0.188992275,0.272571789,0.127192533,0.208636584,0.471293103,0.268970001,0.13560702,0.318314236,0.480956472,0.205329334,0.197270871,0.27133029,0.166502947,0.135481509,0.117929697,0.231261722,0.165239377,0.154756195,0.109574972,0.228766804,0.134442078,0.196463158,0.221470781,0.159348083,0.547844491,0.591698704,0.104139959,0.173960914,0.111776602,0.12,0.152136158,0.126061265,0.171368931,0.260195878,0.181225646,0.268121042,0.193396226,0.174310125,0.242833165,0.122875901,0.218639215,0.131303772
cg00884606,0.095514512,0.129375796,0.095572405,0.060651629,0.11667514,0.094606494,0.070644034,0.099622166,0.141342586,0.156931948,0.074687199,0.13840149,0.130280998,0.126097175,0.092224745,0.127574009,0.14388521,0.232994625,0.131081025,0.212745804,0.156773805,0.133085919,0.112262522,0.311681416,0.14566809,0.158457537,0.09712449,0.348841647,0.236057236,0.166377516,0.119301047,0.415500988,0.186130632,0.078765846,0.094081193,0.152629208,0.069050309,0.110196567,0.138822019,0.106673634,0.351748299,0.121478463,0.101094517,0.118332648,0.113836739,0.113769193,0.105845749,0.078404731,0.273876987,0.116762269,0.132309029,0.106457952,0.321038334,0.123550807,0.105650522,0.088484144,0.093793021,0.102074294,0.084038024,0.133321519,0.108704832,0.147894165,0.086970899,0.1891087,0.121795365,0.124736842,0.075124026,0.0858821,0.244532131,0.087066162,0.072362944,0.162145084,0.066579634,0.122582494,0.110921125,0.126438257,0.107465782,0.085555429,0.16162103,0.146774337,0.122266314,0.167654497,0.135298058,0.11122091,0.536562714,0.495433071,0.09137804,0.138799164,0.369519651,0.409255005,0.1454039,0.129622438,0.14904202,0.161813026,0.15486707,0.14575369,0.147691828,0.137979338,0.157083385,0.097596771,0.126228443,0.082633164
cg00916884,0.133603604,0.205890791,0.123444807,0.630086855,0.129016863,0.10391924,0.050674261,0.07800905,0.299707974,0.329650549,0.159439107,0.115984644,0.736618266,0.132318265,0.059565355,0.122081873,0.219265509,0.043986117,0.180519998,0.037452677,0.183460131,0.248912184,0.157459644,0.097564988,0.113101454,0.214920678,0.021401908,0.15334638,0.171974985,0.069724771,0.104977964,0.122222991,0.329408176,0.09079454,0.056371065,0.283212209,0.060369257,0.293671379,0.192536721,0.17425876,0.056212563,0.197978437,0.123773298,0.162165924,0.058041851,0.120716211,0.179627164,0.050773399,0.097779251,0.299763033,0.240155532,0.263974325,0.451544978,0.221650132,0.193247963,0.098543273,0.147839046,0.238864823,0.094319167,0.28389978,0.19089063,0.287047004,0.066384406,0.050499815,0.045563167,0.275198253,0.086608722,0.549627838,0.081863038,0.207260447,0.157125457,0.306223211,0.039988892,0.375046201,0.054558354,0.191742685,0.094451825,0.172492056,0.151483329,0.232811932,0.104033682,0.223061516,0.182445646,0.185644231,0.109193378,0.566790005,0.085029333,0.115129903,0.058788832,0.622012801,0.269693187,0.17831248,0.225857169,0.152246309,0.159480616,0.398677854,0.159635296,0.065820122,0.202955723,0.114783579,0.104170353,0.169288203
cg01435574,0.113241628,0.171045379,0.109116572,0.05809602,0.128077245,0.108121232,0.084005107,0.089902586,0.190699231,0.189772978,0.056108699,0.118687502,0.093718687,0.116967133,0.102640327,0.1329386,0.141235646,0.107831225,0.133356791,0.095676974,0.171835955,0.155353239,0.104341039,0.131078762,0.138234802,0.156973581,0.101132022,0.134584066,0.134440332,0.101911039,0.122584541,0.141032882,0.081673729,0.086819335,0.089167559,0.165445251,0.073800335,0.161616162,0.133403155,0.120511646,0.101998941,0.16833359,0.108858979,0.127697612,0.124316465,0.153145109,0.16589175,0.100149158,0.108502851,0.144085319,0.170031881,0.139752236,0.087023552,0.133490845,0.124891476,0.085010044,0.071643655,0.137752097,0.090798004,0.171537122,0.158764772,0.189408884,0.085469112,0.100892405,0.050178759,0.176278941,0.086929331,0.061549492,0.124393056,0.055963146,0.06256136,0.194872909,0.080053508,0.153889734,0.110875176,0.188632297,0.095243323,0.101285063,0.111464181,0.212373403,0.103489042,0.141278759,0.126015323,0.116106504,0.092956608,0.077350993,0.09837116,0.150223954,0.081859999,0.08452894,0.109241426,0.138065474,0.166692967,0.179733099,0.146181733,0.173120131,0.134403428,0.114795376,0.157210803,0.088634449,0.152477969,0.171049451
cg01537995,0.268709074,0.327283646,0.515346918,0.782209845,0.356653123,0.428494224,0.598189105,0.586702161,0.398849712,0.306069106,0.414894296,0.151349435,0.54153605,0.396357068,0.141296237,0.251864833,0.344416531,0.4663581,0.203406633,0.19802859,0.277398015,0.246929634,0.231865848,0.311164942,0.442995488,0.266933658,0.053643662,0.428990866,0.320445649,0.703774146,0.356561434,0.352625527,0.527141578,0.249102411,0.075657039,0.391256149,0.117534266,0.500030046,0.203611421,0.408687495,0.55495251,0.30372762,0.410947665,0.50434624,0.242337336,0.377419698,0.292724196,0.528494664,0.418612614,0.432368731,0.478634039,0.498059787,0.599549156,0.394278974,0.292144374,0.597924679,0.377741514,0.329371002,0.347844988,0.413744363,0.412850952,0.368084534,0.304219572,0.382419635,0.68637941,0.341690301,0.286888218,0.439888896,0.385801918,0.200883002,0.313304455,0.374266222,0.287803669,0.255660327,0.332802023,0.477828149,0.209211756,0.18879635,0.209399988,0.421690805,0.139821993,0.299468203,0.356441506,0.472512369,0.493055071,0.489109296,0.389108745,0.304633708,0.538597006,0.446388201,0.364178596,0.225626269,0.205928316,0.339634698,0.360285973,0.467450939,0.280147662,0.261924316,0.291588001,0.153149606,0.220730942,0.419503119
cg01587896,0.236842105,0.274216323,0.251427745,0.463113036,0.249106853,0.165169316,0.080283259,0.631758016,0.291851425,0.36810644,0.734826987,0.216782853,0.143552615,0.190370903,0.104221369,0.177883815,0.242424242,0.597688752,0.221771508,0.122940116,0.279951981,0.257624354,0.152726018,0.481432548,0.61152186,0.278835173,0.060541005,0.314376423,0.580431307,0.675028121,0.153996951,0.184011523,0.527645862,0.203291461,0.089707271,0.316777324,0.123653467,0.274057621,0.231774933,0.206446602,0.167455911,0.239029392,0.217117354,0.313493866,0.148815973,0.289836106,0.244608666,0.132685556,0.188642783,0.351131469,0.273590971,0.292731365,0.108548354,0.279532967,0.217599482,0.180457476,0.079255814,0.195903329,0.181747148,0.300154105,0.263517509,0.336607268,0.148871061,0.104194858,0.132536868,0.310052132,0.146960119,0.120003395,0.560204579,0.188369986,0.185077436,0.326675885,0.111688132,0.251149456,0.113950779,0.282721945,0.150524794,0.141252372,0.136854506,0.313476188,0.154134203,0.277666097,0.268406149,0.252385293,0.138227513,0.095708639,0.144804089,0.122254974,0.124748491,0.592100927,0.49574863,0.181277955,0.212068579,0.237539031,0.217231353,0.271260329,0.229540307,0.160644492,0.220575465,0.14976559,0.238984353,0.112194794
cg01699217,0.536059555,0.397439091,0.71220616,0.910380601,0.317331115,0.362853266,0.813846909,0.790223456,0.522685724,0.52068455,0.660716097,0.238972597,0.778438979,0.683944107,0.197772657,0.438301772,0.741018524,0.764035901,0.276072884,0.582045788,0.341974789,0.47717601,0.365663453,0.616216363,0.762527281,0.575200332,0.128894867,0.705232488,0.685000261,0.829929262,0.603928379,0.754944664,0.700583992,0.283634362,0.142016328,0.405655247,0.272953152,0.574474215,0.172500251,0.724700677,0.783312859,0.498607981,0.557440381,0.749551481,0.2303207,0.525526158,0.192999467,0.745129409,0.712998475,0.569466115,0.603686636,0.609169232,0.766558914,0.39967355,0.378763379,0.755585074,0.729807136,0.521489195,0.516938131,0.663737345,0.584092792,0.439810316,0.662311758,0.661260532,0.823066841,0.413097263,0.364205886,0.677090484,0.660968858,0.397178946,0.43089909,0.444504472,0.183200304,0.440227645,0.636437967,0.567814443,0.387816456,0.435734687,0.346819929,0.543829216,0.147530762,0.474363873,0.568920124,0.697171938,0.738760031,0.684958318,0.677179059,0.251705126,0.744546253,0.652548602,0.657158504,0.331821419,0.447555454,0.464870428,0.595347253,0.421234812,0.362357146,0.227878883,0.515004564,0.252185539,0.301591417,0.458403989
